  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 STANDARD - PDAS/NASA TM-X-3069 6A ge
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0609   0.00813   0.00259  -0.0127   0.5674   0.5573
  -1.000  -0.0359   0.00812   0.00258  -0.0151   0.5799   0.5462
  -2.000  -0.1276   0.00809   0.00262  -0.0188   0.5934   0.5373
  -3.000  -0.2124   0.00811   0.00272  -0.0240   0.6102   0.5237
  -4.000  -0.2902   0.00813   0.00283  -0.0308   0.6284   0.5062
  -5.000  -0.3623   0.00820   0.00300  -0.0388   0.6472   0.4889
  -6.000  -0.4424   0.00832   0.00325  -0.0448   0.6673   0.4708
  -7.000  -0.5303   0.00851   0.00357  -0.0490   0.6886   0.4422
  -8.000  -0.5814   0.00969   0.00445  -0.0595   0.7114   0.3359
  -9.000  -0.6057   0.01212   0.00651  -0.0720   0.7387   0.2211
 -10.000  -0.6375   0.01522   0.00945  -0.0802   0.7705   0.1502
 -11.000  -0.6789   0.01868   0.01298  -0.0851   0.8120   0.1104
 -12.000  -0.7170   0.02262   0.01714  -0.0893   0.8775   0.0842
 -13.000  -0.7698   0.02673   0.02146  -0.0903   0.9414   0.0671
 -14.000  -0.8693   0.03233   0.02712  -0.0799   0.9681   0.0517
 -15.000  -0.9367   0.03861   0.03349  -0.0748   0.9921   0.0425
 -16.000  -0.9973   0.04609   0.04097  -0.0689   1.0000   0.0314
 -18.000  -1.0171   0.06092   0.05604  -0.0738   1.0000   0.0251
 -19.000  -1.0182   0.07068   0.06595  -0.0735   1.0000   0.0225
 -20.000  -1.0264   0.08042   0.07590  -0.0719   1.0000   0.0211
 -21.000  -1.0134   0.09341   0.08911  -0.0685   1.0000   0.0197
 -22.000  -0.9840   0.10942   0.10542  -0.0628   1.0000   0.0192
 -23.000  -0.9692   0.12415   0.12042  -0.0563   1.0000   0.0182
 -24.000  -0.9442   0.14093   0.13747  -0.0478   1.0000   0.0179
 -25.000  -0.9254   0.15711   0.15388  -0.0387   1.0000   0.0176
