pointId,controlName,controlUnit,coefficientName,directCoefficientDerivative,B9RecoveredCoefficientDerivative,B13TorqueRecoveredCoefficientDerivative,B13CommandRecoveredCoefficientDerivative,relativeDifferenceB9,relativeDifferenceB13Torque,relativeDifferenceB13Command,statusB9,statusB13Torque,statusB13Command,interfaceInterpretation
B15_V020,collective,rad,CX_collective,15.4392257042267,15.4392257042267,15.4392257042267,15.4392257042267,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,collective,rad,CY_collective,-1.03117313126182e-12,-1.03117313126182e-12,-1.03117313126182e-12,-1.03117313126182e-12,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,collective,rad,CZ_collective,-66.9776351940098,-66.9776351940098,-66.9776351940098,-66.9776351940098,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,collective,rad,Cl_collective,-6.67684602492031e-12,-6.6768460249203e-12,-6.6768460249203e-12,-6.6768460249203e-12,8.07793566946316e-18,8.07793566946316e-18,8.07793566946316e-18,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,collective,rad,Cm_collective,0.265660268057739,0.26566026805774,0.26566026805774,0.26566026805774,2.08955413758722e-16,2.08955413758722e-16,2.08955413758722e-16,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,collective,rad,Cn_collective,-1.21807326130303e-12,-1.21807326130303e-12,-1.21162842923264e-12,-1.21162842923264e-12,6.05845175209737e-18,6.44483207038655e-05,6.44483207038655e-05,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,CX_diffCollective,2.06234626252365e-12,2.0623462629438e-12,2.0623462629438e-12,2.0623462629438e-12,4.20155244595087e-12,4.20155244595087e-12,4.20155244595087e-12,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,CY_diffCollective,-5.25152326241119,-5.25152326241119,-5.25152326241119,-5.25152326241119,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,CZ_diffCollective,-8.24938505009459e-12,-8.24938496174194e-12,-8.24938496174194e-12,-8.24938496174194e-12,8.83526427201907e-10,8.83526427201907e-10,8.83526427201907e-10,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,Cl_diffCollective,-34.6782232035233,-34.6782232035233,-34.6782232035233,-34.6782232035233,2.04895946251338e-16,2.04895946251338e-16,2.04895946251338e-16,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,Cm_diffCollective,-6.87448754174549e-13,-6.87448793279412e-13,-6.87448793279412e-13,-6.87448793279412e-13,3.91048634939905e-10,3.91048634939905e-10,3.91048634939905e-10,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCollective,rad,Cn_diffCollective,-5.11858039832228,-5.11858039832228,-5.11858039832227,-5.11858039832227,1.73520458913031e-16,1.38816367130425e-15,1.38816367130425e-15,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,CX_cyclicLong,6.99882622300889,6.99882622300889,6.99882622300889,6.99882622300889,1.26903910941553e-16,1.26903910941553e-16,1.26903910941553e-16,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,CY_cyclicLong,2.57793282815456e-12,2.57793282815456e-12,2.57793282815456e-12,2.57793282815456e-12,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,CZ_cyclicLong,1.46541340821586,1.46541340821586,1.46541340821586,1.46541340821586,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,Cl_cyclicLong,1.00023793732397e-11,1.00023793732397e-11,1.00023793732397e-11,1.00023793732397e-11,3.23117426778526e-17,3.23117426778526e-17,3.23117426778526e-17,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,Cm_cyclicLong,-3.56884532629438,-3.56884532629438,-3.56884532629438,-3.56884532629438,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,cyclicLong,rad,Cn_cyclicLong,2.4168120263949e-12,2.4168120263949e-12,2.41036719432451e-12,2.41036719432451e-12,4.03896783473158e-18,6.44483207038655e-05,6.44483207038655e-05,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCyclic,rad,CX_diffCyclic,-4.12469252504729e-12,-4.1246925258876e-12,-4.1246925258876e-12,-4.1246925258876e-12,8.40310489190173e-12,8.40310489190173e-12,8.40310489190173e-12,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCyclic,rad,CY_diffCyclic,0.0969632409838336,0.0969632409838336,0.0969632409838336,0.0969632409838336,1.43124215599685e-16,1.43124215599685e-16,1.43124215599685e-16,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCyclic,rad,CZ_diffCyclic,1.64987701001892e-11,1.64987701035504e-11,1.64987701035504e-11,1.64987701035504e-11,3.36124195676069e-11,3.36124195676069e-11,3.36124195676069e-11,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCyclic,rad,Cl_diffCyclic,0.749237103079133,0.749237103079132,0.749237103079132,0.749237103079132,2.96360930355019e-16,2.96360930355019e-16,2.96360930355019e-16,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
B15_V020,diffCyclic,rad,Cm_diffCyclic,0,0,0,0,0,0,0,FULL_CROSSCHECK,FULL_CROSSCHECK,FULL_CROSSCHECK,columns 1-8 are direct physical controls in both 13-state interfaces; columns 9-10 are torque or angle command and are not included in this physical-control comparison
