pointId,outputIndex,outputState,inputIndex,inputState,A9,A13Shared,difference,tolerance,classification,dominantComponent,interpretation
B15_V020,1,u,1,u,0.00474481965152033,0.00474481965152033,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,2,v,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,3,w,0.110210376389053,0.110210376389053,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,4,p,1.51582450326369e-13,1.51582450326369e-13,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,5,q,-4.37513230925118,-4.37513230925118,0,4.37513230925118e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,6,r,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,7,phi,1.51582450295471e-12,1.51582450295471e-12,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,8,theta,-9.56595075717511,-9.56595075717511,0,9.56595075717511e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,1,u,9,psi,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,1,u,-1.13686837721616e-15,-1.13686837721616e-15,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,2,v,-0.0351516541824569,-0.0351516541824569,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,3,w,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,4,p,4.28776101699967,4.28776101699998,3.13526982154144e-13,4.28776101699998e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,5,q,-3.7895612573872e-14,-3.7895612573872e-14,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,6,r,-19.5202367269277,-19.5202367269278,-1.20792265079217e-13,1.95202367269278e-08,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,7,phi,9.56603800745594,9.56603800745594,0,9.56603800745594e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,8,theta,1.8947806286936e-13,1.8947806286936e-13,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,2,v,9,psi,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,1,u,-0.0675345106859701,-0.0675345106859701,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,2,v,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,3,w,-0.392607063953231,-0.392607063953231,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,4,p,-1.21265960261096e-12,-1.21265960261096e-12,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,5,q,19.3782563465275,19.3782563465275,0,1.93782563465275e-08,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,6,r,6.06329801305478e-13,1.21265960261096e-12,6.06329801305478e-13,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,7,phi,-1.21265960261096e-11,-1.21265960261096e-11,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,8,theta,-2.1593570314811,-2.1593570314811,0,2.1593570314811e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,3,w,9,psi,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,1,u,-1.6433021277224e-14,-1.6433586919278e-14,-5.65642054041472e-19,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,2,v,-0.0131693903599877,-0.0131693903599877,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,3,w,1.62882169113901e-14,1.62887825534442e-14,5.65642054038316e-19,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,4,p,-2.34981374804577,-2.35431832652069,-0.00450457847491315,2.35431832652069e-09,B_MODEL_DEFINITION_DIFFERENCE_INDEPENDENT_WING_WAKE,wing,十三状态路径逐侧重算尾流覆盖；九状态路径先对左右旋翼推进比取平均。p/r扰动使左右局部推进比不同，二者的求平均顺序不交换，改变滚转/偏航阻尼导数
B15_V020,4,p,5,q,8.12629073099284e-13,8.12629073099284e-13,-1.0097419586829e-28,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,6,r,0.179181195881506,0.195992511692196,0.0168113158106902,1e-09,B_MODEL_DEFINITION_DIFFERENCE_INDEPENDENT_WING_WAKE,wing,十三状态路径逐侧重算尾流覆盖；九状态路径先对左右旋翼推进比取平均。p/r扰动使左右局部推进比不同，二者的求平均顺序不交换，改变滚转/偏航阻尼导数
B15_V020,4,p,7,phi,0.00194311658443455,0.00194311658443455,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,8,theta,-1.62890653744712e-11,-1.62887825534442e-11,2.82821027016874e-16,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,4,p,9,psi,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,1,u,0.000645072666645167,0.000645072666645167,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,2,v,0,0,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,3,w,-0.0217926831500402,-0.0217926831500402,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,4,p,1.52246727643448e-14,1.90308417826116e-14,3.8061690182668e-15,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,5,q,-0.301673994814654,-0.301673994814654,0,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
B15_V020,5,q,6,r,7.6123380365336e-15,7.61233638217238e-15,-1.65436122510606e-21,1e-09,CONSISTENT_WITHIN_TOLERANCE,none,共同刚体导数在当前数值容差内一致
