  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A223 STANDARD - PDAS/NASA TM-X-3069 6A ge
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0609   0.00813   0.00259  -0.0127   0.5674   0.5573
   1.000   0.1582   0.00829   0.00268  -0.0103   0.5547   0.5678
   2.000   0.2610   0.00835   0.00284  -0.0093   0.5455   0.5817
   3.000   0.3690   0.00858   0.00308  -0.0095   0.5341   0.5968
   4.000   0.4796   0.00870   0.00333  -0.0104   0.5237   0.6132
   5.000   0.5907   0.00896   0.00368  -0.0116   0.5117   0.6314
   6.000   0.6894   0.00924   0.00408  -0.0103   0.4936   0.6524
   7.000   0.7867   0.00966   0.00462  -0.0090   0.4780   0.6740
   8.000   0.8778   0.01017   0.00531  -0.0069   0.4567   0.6970
   9.000   0.9472   0.01137   0.00650  -0.0015   0.4065   0.7221
  10.000   0.9741   0.01448   0.00940   0.0087   0.3176   0.7511
  11.000   0.9749   0.01976   0.01443   0.0194   0.2247   0.7914
  12.000   0.9978   0.02556   0.02052   0.0238   0.1595   0.9355
  13.000   1.0546   0.03335   0.02812   0.0197   0.1097   1.0000
  14.000   1.0777   0.03953   0.03428   0.0237   0.0886   1.0000
  15.000   1.1005   0.04626   0.04102   0.0266   0.0711   1.0000
  16.000   1.1237   0.05341   0.04820   0.0284   0.0583   1.0000
  17.000   1.1499   0.06062   0.05549   0.0294   0.0496   1.0000
  18.000   1.1665   0.06910   0.06400   0.0297   0.0379   1.0000
  19.000   1.1818   0.07815   0.07317   0.0292   0.0311   1.0000
  20.000   1.1798   0.08955   0.08463   0.0277   0.0221   1.0000
  21.000   1.1836   0.10077   0.09607   0.0251   0.0201   1.0000
  22.000   1.1746   0.11415   0.10967   0.0210   0.0176   1.0000
  23.000   1.1547   0.12952   0.12530   0.0151   0.0163   1.0000
  24.000   1.1373   0.14497   0.14103   0.0077   0.0157   1.0000
  25.000   1.1212   0.16066   0.15700  -0.0010   0.0153   1.0000
